crop,n_nodes,n_named,row_prod_share,row_cons_share,row_faostat_export_share,row_faostat_import_share,row_model_offer_share,row_model_ship_share,row_model_recv_share,hhi_faostat_exports,hhi_model_ship
wheat,18,17,0.1599516972143188,0.27658847327693287,0.0403034932606704,0.5772291575948443,0.0038801806164851156,0.0007482051782701464,0.6705052305156086,0.14141207201870912,0.13736113127604313
maize,18,17,0.11506809668760838,0.18506078457485162,0.020979467329269818,0.718068199109086,0.03174944967745825,1.434818077049442e-05,0.7173941428443619,0.4465565669615292,0.47376158868332763
rice,18,17,0.23792439950189795,0.2775258247594953,0.045994590303095516,0.7307478857173056,0.1414053635101522,0.04012976768650881,0.4174859280619873,0.24529744020505145,0.2183334754946098
