crop,variant,country,offer_share,p_base,p_ko,lift,d_p_trade,d_p_scar,mean_block_frac,d_free
wheat,shipped,EU,0.19972023659641852,192.48267469188204,296.01127045682296,0.5378592952880825,0.5446581492848208,0.7514332946446673,0.13682885778788925,-5.247481801566666
wheat,ask_rival=0,EU,0.19972023659641852,192.48267469188204,255.52601427662785,0.3275273459580861,0.18068072516118078,0.7780599153295833,0.1365862620623303,-7.9549827791649745
wheat,block_kappa=0,EU,0.19972023659641852,192.48267469188204,241.0434373341816,0.25228640821847215,0.3370140264182335,0.18265587183572346,0.13654081843666313,-10.112113441501945
wheat,"rival=0,block=0",EU,0.19972023659641852,192.48267469188204,206.85838291181722,0.07468572557476771,0.031200967902998342,0.2063556332704883,0.13597512956946553,-13.183997522620798
wheat,unmet_kappa=0,EU,0.20046448384630405,184.62372924355554,277.58847557652945,0.5035362827620866,0.5204441234760175,0.6742512869710348,0.13651513065644327,-4.651961701393443
wheat,trade_w=1 (no scarcity),EU,0.19608847574507765,96.38232427827154,107.54931794052872,0.11586142735068572,0.13900777311796153,4.230845608933477,0.13029352827923016,-6.958253352226773
wheat,trade_w=0 (scarcity only),China,0.20057614707177845,213.6759549520037,251.30056279747222,0.1760825538555324,0.1587161180997601,0.17549980039636465,0.024628904369378868,-9.564536977634948
wheat,all reduced-form off,EU,0.20046448384630405,184.62372924355554,191.496048647732,0.03722338093989275,0.015448745640698272,0.10445287375415488,0.13567536597406185,-13.397677359035493
maize,shipped,USA,0.6518455534475186,105.32583866687905,486.0700703154412,3.614917635289541,2.502080462362261,9.651000233961268,0.6739882143791656,-45.40429297019025
maize,ask_rival=0,USA,0.6518455534475186,105.32583866687905,429.98903187735067,3.082464828381811,1.725230581102839,9.947954065049187,0.6940800662585923,-50.40344992558911
maize,block_kappa=0,USA,0.6518455534475186,105.32583866687905,370.2049961479047,2.51485448237233,2.3873852269599127,4.201256411400114,0.6937914540358815,-58.76622694028806
maize,"rival=0,block=0",USA,0.6518455534475186,105.32583866687905,253.97886709533236,1.4113633492974884,0.8339985078788541,4.449315583094843,0.6878518560816418,-72.80949360427915
maize,unmet_kappa=0,USA,0.6505530142772581,96.75075809303894,429.56787025814606,3.4399431976032524,2.6443277942813976,8.192321027474634,0.6893777358386407,-40.66959092529691
maize,trade_w=1 (no scarcity),USA,0.6055719903883412,61.002108722990556,256.2411535659649,3.2005294395567736,3.593966689726304,44.23924631150232,0.5943814310363947,-33.984150968994605
maize,trade_w=0 (scarcity only),USA,0.6541584584956525,135.44472943490447,823.7743064536667,5.08199602812583,2.1096013639400346,5.485195430904,0.6767029194276434,-56.99646756573886
maize,all reduced-form off,USA,0.6505530142772581,96.75075809303894,155.88176760199454,0.6111684360353347,0.41498466571231196,1.770532527228546,0.5970046362241891,-81.42895241299782
rice,shipped,China,0.5030864104738044,337.19787829687147,384.9832797281165,0.1417132328133286,0.14154425898062004,0.15580210537635766,0.049924552357125944,-3.5739763973549277
rice,ask_rival=0,China,0.5030864104738044,337.19787829687147,368.8798875714603,0.09395672782583686,0.059796192162555925,0.18211606305646247,0.04985910805465671,-4.269414220955437
rice,block_kappa=0,China,0.5030864104738044,337.19787829687147,359.63532820755967,0.06654089884555603,0.09215160327579441,0.0036106162203903636,0.04982266662714672,-4.873387827588105
rice,"rival=0,block=0",China,0.5030864104738044,337.19787829687147,344.79935173818325,0.02254306426750219,0.012860111718954487,0.04507374660501489,0.04979318880425459,-5.628506636982756
rice,unmet_kappa=0,China,0.5031653322268207,337.11278174711805,384.10163592836915,0.1393861542055066,0.14058924603647502,0.14974557615944875,0.04992014406897296,-3.5959993999756095
rice,trade_w=1 (no scarcity),China,0.5356973342076715,267.08346003425027,294.12795046716985,0.10125857448997944,0.11480804003221451,0.4554110684515252,0.05013111611506371,-4.253168069426526
rice,trade_w=0 (scarcity only),China,0.5035004916131331,338.9922769124519,391.8856365669853,0.1560311642975678,0.1748566663055523,0.13183012308003045,0.04996052866026212,-2.8570819638177967
rice,all reduced-form off,China,0.5031653322268207,337.11278174711805,343.18158006960766,0.018002278914010628,0.010537505578955834,0.035845381736945174,0.04979508667873067,-5.69279261631243
