crop,ask_comp_elast,head_corr,head_h0708,head_h1011,nosrc_corr,nosrc_h0708,nosrc_h1011
wheat,0.0,0.6799353163943785,2.0781932381641433,1.311579483499702,0.6799353163943784,2.0781932381641424,1.311579483499702
wheat,0.5,0.6827821868096664,2.080757737324109,1.314838611086193,0.679861672140076,2.0792549649792953,1.3117470527008657
wheat,1.25,0.6871963698005545,2.086534098791583,1.3141872908546142,0.679753050955721,2.080259838047159,1.3119754293205
wheat,3.0,0.6971440480618921,2.086078746616526,1.3213200940651004,0.6787545205713907,2.078619170906041,1.3133914488029754
wheat,8.0,0.6960076548152156,2.0837226476432305,1.2826592555474237,0.6752255315293912,2.068758937538545,1.3175527298658352
maize,0.0,0.7873238695095672,2.0382472546031773,1.5460795266690484,0.787323869509567,2.0382472546031773,1.5460795266690504
maize,0.5,0.7886002750726407,2.0396098731136387,1.5324247104575273,0.7872872787704609,2.039766480435422,1.5463596765779357
maize,1.25,0.7921112767257182,2.052576960050763,1.5152893790028277,0.7872165649905337,2.0412069040372267,1.5466195913027958
maize,3.0,0.7943236569748618,2.050015709343032,1.4515706904582144,0.787099545658704,2.0457864645435295,1.5470577400859853
maize,8.0,0.7776110836401438,2.026471716645217,1.39768169623797,0.7869955409305185,2.053451362732248,1.548425887073675
rice,0.0,0.6749590231144451,1.5459410994725797,0.8443610728614044,0.6749590231144453,1.5459410994725797,0.8443610728614044
rice,0.5,0.6752512083992915,1.5448184587135878,0.8445080216885997,0.6749614759744099,1.5459195255891536,0.8443603737145514
rice,1.25,0.6757655371214287,1.5434381597067155,0.8445853735249156,0.6749651171808487,1.5458882377531584,0.8443593271269831
rice,3.0,0.6768879880490208,1.5404924357891137,0.8446125125174552,0.6750476957419762,1.545730257271706,0.8443510355765678
rice,8.0,0.6746031333045489,1.5355671928325088,0.8342904083773636,0.6750644701752115,1.545747678606083,0.8443440471070625
