crop,d_price,d_stock,d_trade,d_exp,corr,h0708,h1011,ref_corr,ref_h0708,ref_h1011,d_corr,d_h0708,d_h1011,reweight_max_abs_dev
wheat,0.0,0.0,0.0,0.0,0.7198612368258547,2.2673764846341906,1.4472676909253321,0.72,2.27,1.45,-0.0001387631741452955,-0.0026235153658094035,-0.002732309074667816,1.1102230246251565e-16
maize,0.0,0.0,0.0,0.0,0.7115343015231028,1.9716551959162116,1.698938753871961,0.712,1.97,1.7,-0.0004656984768971473,0.0016551959162116603,-0.0010612461280390395,2.220446049250313e-16
rice,0.0,0.0,0.0,0.0,0.6777409747204022,1.7218949303223503,0.8204584882401206,0.678,1.72,0.82,-0.0002590252795978687,0.00189493032235033,0.0004584882401206247,1.1102230246251565e-16
