crop,perturbation_rel,max_rel_dprice,amplification,first_step_rel_gt_1e12,d_corr,d_h0708,d_h1011
wheat,2.220446049250313e-16,1.0806736465978202e-15,4.866921432127058,-1,-2.220446049250313e-16,0.0,-2.220446049250313e-16
maize,2.220446049250313e-16,1.6765405287067108e-15,7.550467300355077,-1,-3.3306690738754696e-16,0.0,0.0
rice,2.220446049250313e-16,1.5002140221097391e-15,6.756363310949414,-1,0.0,1.1102230246251565e-15,0.0
