crop,n_phases,median_len,mean_len,max_len,share_steps_in_long_phases
wheat,17,18.0,34.470588235294116,112.0,0.9965870307167235
maize,10,22.0,38.6,94.0,0.9948186528497409
rice,13,26.0,47.07692307692308,112.0,0.9869281045751634
