crop,phi,T,h_min,h_med,h_mean,h_max,share_h_gt6,share_h_gt9,mean_lags_beyond_8,sheaf_info_mmt,agri_info_mmt,info_ratio,lag0_incoherence_mmt
wheat,0.55,144,1,5,5.791666666666667,14,0.375,0.24305555555555555,0.9027777777777778,1.8472224609440886,2.83289223409605,0.6520623829990203,0.8079530357408568
maize,0.5,144,1,7,8.0,19,0.5555555555555556,0.3958333333333333,2.5,2.2906930070610048,2.5291547514728094,0.9057148463244724,0.8710531908365321
rice,0.55,144,1,4,5.0625,11,0.3055555555555556,0.1736111111111111,0.4861111111111111,0.5560619963450109,0.7875889480602731,0.7060307254368128,0.18046121525573053
