crop,lag,sheaf_weight,agrimate_weight,share_steps_window_reaches_lag
wheat,0,1.0,0.9993597050807773,1.0
wheat,1,0.55,0.997822615164796,1.0
wheat,2,0.55,0.992622830860116,0.8888888888888888
wheat,3,0.55,0.9753127335180232,0.7291666666666666
wheat,4,0.55,0.9206331154443084,0.6041666666666666
wheat,5,0.55,0.7730282785346128,0.5208333333333334
wheat,6,0.55,0.5,0.4513888888888889
wheat,7,0.55,0.2269717214653872,0.375
wheat,8,0.55,0.07936688455569164,0.3194444444444444
wheat,9,0.55,0.024687266481976767,0.2777777777777778
wheat,10,0.55,0.007377169139883979,0.24305555555555555
wheat,11,0.55,0.002177384835203972,0.1736111111111111
wheat,12,0.55,0.0006402949192226082,0.1388888888888889
wheat,13,0.55,0.00018808445360652206,0.0625
wheat,14,0.55,5.5231517320449865e-05,0.006944444444444444
wheat,15,0.55,1.6217364903223707e-05,0.0
wheat,16,0.55,4.761695657964059e-06,0.0
wheat,17,0.55,1.3981039580056685e-06,0.0
wheat,18,0.55,4.105029328727742e-07,0.0
wheat,19,0.55,1.205293350133824e-07,0.0
wheat,20,0.55,3.538907145296899e-08,0.0
wheat,21,0.55,1.0390717768776997e-08,0.0
wheat,22,0.55,3.050857493882779e-09,0.0
wheat,23,0.55,8.957736709672657e-10,0.0
wheat,24,0.55,2.630114549714445e-10,0.0
maize,0,1.0,0.9993597050807773,1.0
maize,1,0.5,0.997822615164796,1.0
maize,2,0.5,0.992622830860116,0.8194444444444444
maize,3,0.5,0.9753127335180232,0.7291666666666666
maize,4,0.5,0.9206331154443084,0.6805555555555556
maize,5,0.5,0.7730282785346128,0.6388888888888888
maize,6,0.5,0.5,0.5972222222222222
maize,7,0.5,0.2269717214653872,0.5555555555555556
maize,8,0.5,0.07936688455569164,0.4791666666666667
maize,9,0.5,0.024687266481976767,0.4375
maize,10,0.5,0.007377169139883979,0.3958333333333333
maize,11,0.5,0.002177384835203972,0.3541666666666667
maize,12,0.5,0.0006402949192226082,0.3125
maize,13,0.5,0.00018808445360652206,0.2708333333333333
maize,14,0.5,5.5231517320449865e-05,0.22916666666666666
maize,15,0.5,1.6217364903223707e-05,0.18055555555555555
maize,16,0.5,4.761695657964059e-06,0.1388888888888889
maize,17,0.5,1.3981039580056685e-06,0.09722222222222222
maize,18,0.5,4.105029328727742e-07,0.05555555555555555
maize,19,0.5,1.205293350133824e-07,0.027777777777777776
maize,20,0.5,3.538907145296899e-08,0.0
maize,21,0.5,1.0390717768776997e-08,0.0
maize,22,0.5,3.050857493882779e-09,0.0
maize,23,0.5,8.957736709672657e-10,0.0
maize,24,0.5,2.630114549714445e-10,0.0
rice,0,1.0,0.9993597050807773,1.0
rice,1,0.55,0.997822615164796,1.0
rice,2,0.55,0.992622830860116,0.9861111111111112
rice,3,0.55,0.9753127335180232,0.6875
rice,4,0.55,0.9206331154443084,0.5555555555555556
rice,5,0.55,0.7730282785346128,0.4305555555555556
rice,6,0.55,0.5,0.3472222222222222
rice,7,0.55,0.2269717214653872,0.3055555555555556
rice,8,0.55,0.07936688455569164,0.2638888888888889
rice,9,0.55,0.024687266481976767,0.2152777777777778
rice,10,0.55,0.007377169139883979,0.1736111111111111
rice,11,0.55,0.002177384835203972,0.09722222222222222
rice,12,0.55,0.0006402949192226082,0.0
rice,13,0.55,0.00018808445360652206,0.0
rice,14,0.55,5.5231517320449865e-05,0.0
rice,15,0.55,1.6217364903223707e-05,0.0
rice,16,0.55,4.761695657964059e-06,0.0
rice,17,0.55,1.3981039580056685e-06,0.0
rice,18,0.55,4.105029328727742e-07,0.0
rice,19,0.55,1.205293350133824e-07,0.0
rice,20,0.55,3.538907145296899e-08,0.0
rice,21,0.55,1.0390717768776997e-08,0.0
rice,22,0.55,3.050857493882779e-09,0.0
rice,23,0.55,8.957736709672657e-10,0.0
rice,24,0.55,2.630114549714445e-10,0.0
