crop,variant,max_step_move,at,p_max,p_min,mean_boundary_move
wheat,V0,0.12312372471817719,2007-03,536.4882728079783,185.02450057112765,0.025877481563992666
wheat,V1,0.12561490368356432,2007-03,537.754344080191,186.3357023660347,0.025469928711067902
maize,V0,0.33375977855774897,2006-11,324.6009733382048,91.58123122684347,0.016490241189117218
maize,V1,0.12785959201828292,2006-12,327.6428019617976,91.970132366383,0.02000177865816933
rice,V0,0.10899270325122899,2007-10,902.3360933543536,307.0592422195837,0.08767594148430638
rice,V1,0.11033465387951667,2007-10,902.3580827519731,306.62847719487297,0.08825195044458291
