crop,mean_signed_gap,mean_signed_rel,rally_signed_rel,share_post_gt_pre
wheat,3.196356025005511,0.007732536728048612,0.02205958959342532,0.5347222222222222
maize,0.7068370892398279,0.0058214341675938775,0.022602932441801286,0.4652777777777778
rice,26.486273881181127,0.03699271146140212,0.05029253246566172,0.5902777777777778
